country,production,produccion
Germany,2003,5507
Germany,2004,5570
Germany,2005,5758
Germany,2006,5820
Germany,2007,6213
Germany,2008,6046
Germany,2009,5210
Germany,2010,5906
Germany,2011,6311
Germany,2012,5797
Germany,2013,5877
Germany,2014,6051
Germany,2015,6186
Germany,2016,6211
Germany,2017,6070
Germany,2018,5554
Germany,2019,5082
Germany,2020,3840
Germany,2021,3411
India,1961,54
India,1971,89
India,1981,149
India,1991,355
India,1994,475
India,1995,636
India,1996,762
India,1997,746
India,1998,513
India,1999,780
India,2000,796
India,2001,825
India,2002,892
India,2003,1161
India,2004,1511
India,2005,1642
India,2006,1958
India,2007,2250
India,2008,2316
India,2009,2643
India,2010,3554
India,2011,3940
India,2012,4149
India,2013,3896
India,2014,3865
India,2015,4150
India,2016,4489
India,2017,4783
India,2018,5175
India,2019,4516
India,2020,3393
India,2021,4399
Italy,1961,759
Italy,1971,1817
Italy,1981,1433
Italy,1991,1878
Italy,1994,1534
Italy,1995,1667
Italy,1996,1545
Italy,1997,1817
Italy,1998,1693
Italy,1999,1701
Italy,2000,1738
Italy,2001,1580
Italy,2002,1427
Italy,2003,1322
Italy,2004,1142
Italy,2005,1038
Italy,2006,1212
Italy,2007,1284
Italy,2008,1024
Italy,2009,843
Italy,2010,836
Italy,2011,790
Italy,2012,672
Italy,2013,658
Italy,2014,698
Italy,2015,1014
Italy,2016,1103
Italy,2017,1142
Italy,2018,1062
Italy,2019,915
Italy,2020,777
Italy,2021,796
Japan,1961,1039
Japan,1971,5811
Japan,1981,11180
Japan,1991,13245
Japan,1994,10554
Japan,1995,10196
Japan,1996,10346
Japan,1997,10975
Japan,1998,10050
Japan,1999,9905
Japan,2000,10145
Japan,2001,9777
Japan,2002,10258
Japan,2003,10286
Japan,2004,10512
Japan,2005,10800
Japan,2006,11484
Japan,2007,11596
Japan,2008,11564
Japan,2009,7935
Japan,2010,9626
Japan,2011,8399
Japan,2012,9943
Japan,2013,9630
Japan,2014,9775
Japan,2015,9278
Japan,2016,9204
Japan,2017,9690
Japan,2018,9729
Japan,2019,9682
Japan,2020,8068
Japan,2021,7847
Malaysia,1991,102
Malaysia,1994,137
Malaysia,1995,164
Malaysia,1996,176
Malaysia,1997,280
Malaysia,1998,134
Malaysia,1999,205
Malaysia,2000,295
Malaysia,2001,359
Mexico,1971,211
Mexico,1981,597
Mexico,1991,989
Mexico,1994,1123
Mexico,1995,935
Mexico,1996,1220
Mexico,1997,1358
Mexico,1998,1453
Mexico,1999,1534
Mexico,2000,1923
Mexico,2001,1857
Mexico,2002,1805
Mexico,2003,1575
Mexico,2004,1553
Mexico,2005,1684
Mexico,2006,2046
Mexico,2007,2095
Mexico,2008,2168
Mexico,2009,1561
Mexico,2010,2342
Mexico,2011,2681
Mexico,2012,3002
Mexico,2013,3051
Mexico,2014,3368
Mexico,2015,3565
Mexico,2016,3600
Mexico,2017,4070
Mexico,2018,4101
Mexico,2019,3992
Mexico,2020,3159
Mexico,2021,3135
Netherlands,1961,19
Netherlands,1971,91
Netherlands,1981,90
Netherlands,1991,111
Netherlands,1994,115
Netherlands,1995,132
Netherlands,1996,164
Netherlands,1997,218
Netherlands,1998,271
Netherlands,1999,287
Netherlands,2000,267
Netherlands,2001,239
Netherlands,2002,231
Netherlands,2003,219
Netherlands,2004,248
Netherlands,2005,181
Netherlands,2006,159
Netherlands,2007,139
Netherlands,2008,132
Netherlands,2009,77
Netherlands,2010,94
Netherlands,2011,110
Netherlands,2012,66
Netherlands,2013,68
Netherlands,2014,95
Netherlands,2015,133
Netherlands,2016,165
Netherlands,2017,251
Netherlands,2018,303
Netherlands,2019,265
Netherlands,2020,190
Netherlands,2021,176
Poland,1961,36
Poland,1971,146
Poland,1981,308
Poland,1991,193
Poland,1994,365
Poland,1995,381
Poland,1996,401
Poland,1997,322
Poland,1998,499
Poland,1999,695
Poland,2000,556
Poland,2001,387
Poland,2002,310
Poland,2003,300
Poland,2004,592
Poland,2005,612
Poland,2006,716
Poland,2007,875
Poland,2008,1006
Poland,2009,907
Poland,2010,895
Poland,2011,835
Poland,2012,645
Poland,2013,588
Poland,2014,589
Poland,2015,656
Poland,2016,676
Poland,2017,685
Poland,2018,660
Poland,2019,650
Poland,2020,451
Poland,2021,439
Portugal,1991,26
Portugal,1994,125
Portugal,1995,57
Portugal,1996,132
Portugal,1997,267
Portugal,1998,271
Portugal,1999,252
Portugal,2000,247
Portugal,2001,240
Portugal,2002,251
Portugal,2003,239
Portugal,2004,227
Portugal,2005,221
Portugal,2006,227
Portugal,2007,176
Portugal,2008,175
Portugal,2009,126
Portugal,2010,159
Portugal,2011,192
Portugal,2012,164
Portugal,2013,154
Portugal,2014,162
Portugal,2015,157
Portugal,2016,143
Portugal,2017,176
Portugal,2018,294
Portugal,2019,346
Portugal,2020,264
Portugal,2021,290
Romania,1991,94
Romania,1994,90
Romania,1995,93
Romania,1996,99
Romania,1997,129
Romania,1998,127
Romania,1999,107
Romania,2000,72
Romania,2001,69
Russia,1961,555
Russia,1971,1130
Russia,1981,2198
Russia,1991,2052
Russia,1994,1002
Russia,1995,994
Russia,1996,1004
Russia,1997,1174
Russia,1999,1172
Russia,2000,1203
Russia,2001,1250
Russia,2002,1220
Russia,2003,1280
Russia,2004,1385
Russia,2005,1353
Russia,2006,1507
Russia,2007,1672
Russia,2008,1794
Russia,2009,722
Russia,2010,1404
Russia,2011,1989
Russia,2012,2232
Russia,2013,2176
Russia,2014,1887
Russia,2015,1379
Russia,2016,1304
Russia,2017,1551
Russia,2018,1764
Russia,2019,1715
Russia,2020,1432
Russia,2021,1563
Slovakia,2005,218
Slovakia,2006,295
Slovakia,2007,571
Slovakia,2008,576
Slovakia,2009,463
Slovakia,2010,563
Slovakia,2011,586
Slovakia,2012,844
Slovakia,2013,906
Slovakia,2014,902
Slovakia,2015,957
Slovakia,2016,973
Slovakia,2017,974
Slovakia,2018,1093
Slovakia,2019,1132
Slovakia,2020,970
Slovakia,2021,1000
South Africa,2005,516
South Africa,2006,588
South Africa,2007,534
South Africa,2008,563
South Africa,2009,374
South Africa,2010,472
South Africa,2011,533
South Africa,2012,539
South Africa,2013,546
South Africa,2014,566
South Africa,2015,592
South Africa,2016,578
South Africa,2017,581
South Africa,2018,595
South Africa,2019,616
South Africa,2020,432
South Africa,2021,475
South Korea,1981,134
South Korea,1991,1498
South Korea,1994,2312
South Korea,1995,2526
South Korea,1996,2813
South Korea,1997,2818
South Korea,1998,1954
South Korea,1999,2832
South Korea,2000,3115
South Korea,2001,2946
South Korea,2002,3148
South Korea,2003,3178
South Korea,2004,3469
South Korea,2005,3699
South Korea,2006,3840
South Korea,2007,4086
South Korea,2008,3827
South Korea,2009,3513
South Korea,2010,4272
South Korea,2011,4657
South Korea,2012,4558
South Korea,2013,4522
South Korea,2014,4525
South Korea,2015,4556
South Korea,2016,4229
South Korea,2017,4115
South Korea,2018,4029
South Korea,2019,3951
South Korea,2020,3507
South Korea,2021,3462
Spain,1961,75
Spain,1971,532
Spain,1981,987
Spain,1991,2082
Spain,1994,2142
Spain,1995,2334
Spain,1996,2412
Spain,1997,2562
Spain,1998,2826
Spain,1999,2672
Spain,2000,3033
Spain,2001,2850
Spain,2002,2855
Spain,2003,3030
Spain,2004,3012
Spain,2005,2753
Spain,2006,2777
Spain,2007,2890
Spain,2008,2542
Spain,2009,2164
Spain,2010,2388
Spain,2011,2354
Spain,2012,1979
Spain,2013,2163
Spain,2014,2403
Spain,2015,2733
Spain,2016,2886
Spain,2017,2848
Spain,2018,2820
Spain,2019,2822
Spain,2020,2268
Spain,2021,2098
Sweden,1961,132
Sweden,1971,317
Sweden,1981,313
Sweden,1991,344
Sweden,1994,435
Sweden,1995,490
Sweden,1996,463
Sweden,1997,480
Sweden,1998,483
Sweden,1999,494
Sweden,2000,296
Sweden,2001,286
Sweden,2002,276
Sweden,2003,323
Sweden,2004,339
Sweden,2005,324
Sweden,2006,327
Sweden,2007,361
Sweden,2008,299
Sweden,2009,152
Sweden,2010,208
Sweden,2011,232
Sweden,2012,200
Sweden,2013,199
Sweden,2014,188
Sweden,2015,230
Sweden,2016,254
Sweden,2017,276
Sweden,2018,340
Sweden,2019,329
Sweden,2020,285
Sweden,2021,299
Taiwan,1991,382
Taiwan,1994,423
Taiwan,1995,406
Taiwan,1996,366
Taiwan,1997,381
Taiwan,1998,405
Taiwan,1999,350
Taiwan,2000,365
Taiwan,2001,272
Taiwan,2002,337
Taiwan,2003,387
Taiwan,2004,431
Taiwan,2005,446
Taiwan,2006,303
Taiwan,2007,283
Taiwan,2008,183
Taiwan,2009,226
Turkey,1971,25
Turkey,1981,47
Turkey,1991,242
Turkey,1994,244
Turkey,1995,282
Turkey,1996,277
